tipo;activity_id;fecha;hora;sleeptime;sleepDeep;sleepLight;despierto;sleeprem;averageStressLevel;maxStressLevel;stressDuration;restStressPercentage;activityStressPercentage;uncategorizedStressPercentage;lowStressPercentage;mediumStressPercentage;highStressPercentage;HRV;m1;m2;m5;m10;m20;m30;m60;m120;m300;m600;m1200;m1800;m3600;m7200;m18000;sleepScoreFeedback;stress;awakeCount;overall;remPercentage;restlessness;lightPercentage;deepPercentage;totalDuration;sleepRate
27;6855146297;28/05/2021;08:35:26;20280;1860;15900;0;2520;12;97;1560;60.94;21.73;13.23;1.89;1.26;0.94;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;POSITIVE_RECOVERING;EXCELLENT;EXCELLENT;FAIR;POOR;FAIR;POOR;POOR;FAIR;75
11;6849327601;27/05/2021;06:06:15;20880;3600;17280;180;0;19;99;9840;51.39;22.46;14.74;7.65;1.67;2.09;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;POSITIVE_RECOVERING;EXCELLENT;EXCELLENT;FAIR;POOR;FAIR;POOR;GOOD;FAIR;78
27;6846087231;26/05/2021;09:59:13;22020;6000;14640;120;1380;15;99;4620;49.13;43.12;2.38;3.91;0.91;0.56;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;POSITIVE_RECOVERING;EXCELLENT;EXCELLENT;GOOD;POOR;FAIR;FAIR;EXCELLENT;FAIR;80
2;6838439856;25/05/2021;08:46:59;21660;2580;17160;1140;1920;21;99;17640;49.46;15.77;13.61;18.43;2.02;0.72;84;405;384;329;291;266;261;258;248;238;234;228;202;196;170;0;NEGATIVE_NOT_REFRESHING;EXCELLENT;GOOD;FAIR;POOR;POOR;POOR;FAIR;FAIR;76
27;6832163246;24/05/2021;07:11:06;23100;3240;17340;0;2520;21;96;13200;54.71;22.82;7.12;13.89;1.33;0.14;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;POSITIVE_CONTINUOUS;FAIR;EXCELLENT;FAIR;POOR;GOOD;POOR;FAIR;FAIR;75
1;6821449431;22/05/2021;11:25:54;19920;2100;17460;0;360;44;99;37680;28.23;14.81;11.16;11.52;24.51;9.77;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NEGATIVE_NOT_REFRESHING;EXCELLENT;EXCELLENT;FAIR;POOR;FAIR;POOR;FAIR;FAIR;68
11;6820085395;22/05/2021;06:12:43;19920;2100;17460;0;360;44;99;37680;28.23;14.81;11.16;11.52;24.51;9.77;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NEGATIVE_NOT_REFRESHING;EXCELLENT;EXCELLENT;FAIR;POOR;FAIR;POOR;FAIR;FAIR;68
1;6816191655;21/05/2021;11:10:13;21000;2340;16440;540;2220;24;93;15420;41.49;35.36;5.23;13.53;3.28;1.12;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;POSITIVE_CONTINUOUS;GOOD;EXCELLENT;FAIR;POOR;GOOD;POOR;FAIR;FAIR;74
2;6810187347;20/05/2021;07:09:18;19020;1740;16320;600;960;29;99;18780;38.24;25.56;14.15;14.93;4.23;2.89;75;441;428;403;348;324;319;302;283;246;227;211;210;194;0;0;NEGATIVE_SHORT_AND_POOR_STRUCTURE;FAIR;EXCELLENT;POOR;POOR;FAIR;POOR;POOR;POOR;54
11;6809809810;20/05/2021;06:16:27;19020;1740;16320;600;960;29;99;18780;38.24;25.56;14.15;14.93;4.23;2.89;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NEGATIVE_SHORT_AND_POOR_STRUCTURE;FAIR;EXCELLENT;POOR;POOR;FAIR;POOR;POOR;POOR;54
27;6804924245;19/05/2021;07:55:46;19800;780;13440;600;5580;29;99;19740;30.36;38.93;6.83;16.49;6.25;1.16;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;POSITIVE_REFRESHING;FAIR;EXCELLENT;FAIR;EXCELLENT;GOOD;FAIR;POOR;FAIR;66
11;6804589980;18/05/2021;06:03:48;12180;0;12180;900;0;22;100;15240;46.81;20.52;13.85;12.0;4.52;2.3;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NEGATIVE_SHORT_AND_POOR_STRUCTURE;EXCELLENT;GOOD;POOR;POOR;POOR;POOR;POOR;POOR;25
